Sr.,Subject,Topic,Subtopic,Used,Used_At,Times_Shown,Last_Shown_At,Video_URL,Notes,Active
33,Deep Learning,Perceptrons and Multilayer Networks,Perceptrons and Multilayer Networks: Reliability and Availability,FALSE,,0,,,,TRUE
34,Deep Learning,Perceptrons and Multilayer Networks,Perceptrons and Multilayer Networks: Security Considerations,FALSE,,0,,,,TRUE
35,Deep Learning,Perceptrons and Multilayer Networks,Perceptrons and Multilayer Networks: Applications,FALSE,,0,,,,TRUE
36,Deep Learning,Perceptrons and Multilayer Networks,Perceptrons and Multilayer Networks: Emerging Trends,FALSE,,0,,,,TRUE
37,Deep Learning,Activation Functions,Activation Functions: Definition and Scope,FALSE,,0,,,,TRUE
38,Deep Learning,Activation Functions,Activation Functions: Core Concepts,FALSE,,0,,,,TRUE
39,Deep Learning,Activation Functions,Activation Functions: Key Components,FALSE,,0,,,,TRUE
40,Deep Learning,Activation Functions,Activation Functions: Underlying Principles,FALSE,,0,,,,TRUE
41,Deep Learning,Activation Functions,Activation Functions: Methods and Techniques,FALSE,,0,,,,TRUE
42,Deep Learning,Activation Functions,Activation Functions: Design and Implementation,FALSE,,0,,,,TRUE
43,Deep Learning,Activation Functions,Activation Functions: Evaluation and Measurement,FALSE,,0,,,,TRUE
44,Deep Learning,Activation Functions,Activation Functions: Performance Considerations,FALSE,,0,,,,TRUE
45,Deep Learning,Activation Functions,Activation Functions: Security or Safety Considerations,FALSE,,0,,,,TRUE
46,Deep Learning,Activation Functions,Activation Functions: Applications and Use Cases,FALSE,,0,,,,TRUE
47,Deep Learning,Activation Functions,Activation Functions: Challenges and Limitations,FALSE,,0,,,,TRUE
48,Deep Learning,Activation Functions,Activation Functions: Emerging Trends,FALSE,,0,,,,TRUE
49,Deep Learning,Loss Functions,Loss Functions: Definition and Scope,FALSE,,0,,,,TRUE
50,Deep Learning,Loss Functions,Loss Functions: Core Concepts,FALSE,,0,,,,TRUE
51,Deep Learning,Loss Functions,Loss Functions: Key Components,FALSE,,0,,,,TRUE
52,Deep Learning,Loss Functions,Loss Functions: Underlying Principles,FALSE,,0,,,,TRUE
53,Deep Learning,Loss Functions,Loss Functions: Methods and Techniques,FALSE,,0,,,,TRUE
54,Deep Learning,Loss Functions,Loss Functions: Design and Implementation,FALSE,,0,,,,TRUE
55,Deep Learning,Loss Functions,Loss Functions: Evaluation and Measurement,FALSE,,0,,,,TRUE
56,Deep Learning,Loss Functions,Loss Functions: Performance Considerations,FALSE,,0,,,,TRUE
57,Deep Learning,Loss Functions,Loss Functions: Security or Safety Considerations,FALSE,,0,,,,TRUE
58,Deep Learning,Loss Functions,Loss Functions: Applications and Use Cases,FALSE,,0,,,,TRUE
59,Deep Learning,Loss Functions,Loss Functions: Challenges and Limitations,FALSE,,0,,,,TRUE
60,Deep Learning,Loss Functions,Loss Functions: Emerging Trends,FALSE,,0,,,,TRUE
61,Deep Learning,Optimization Algorithms,Optimization Algorithms: Problem Definition,FALSE,,0,,,,TRUE
62,Deep Learning,Optimization Algorithms,Optimization Algorithms: Core Concepts,FALSE,,0,,,,TRUE
63,Deep Learning,Optimization Algorithms,Optimization Algorithms: Input Representation,FALSE,,0,,,,TRUE
64,Deep Learning,Optimization Algorithms,Optimization Algorithms: Key Methods,FALSE,,0,,,,TRUE
65,Deep Learning,Optimization Algorithms,Optimization Algorithms: Algorithm Workflow,FALSE,,0,,,,TRUE
66,Deep Learning,Optimization Algorithms,Optimization Algorithms: Training or Computation,FALSE,,0,,,,TRUE
67,Deep Learning,Optimization Algorithms,Optimization Algorithms: Hyperparameters and Configuration,FALSE,,0,,,,TRUE
68,Deep Learning,Optimization Algorithms,Optimization Algorithms: Evaluation Metrics,FALSE,,0,,,,TRUE
69,Deep Learning,Optimization Algorithms,Optimization Algorithms: Error Analysis,FALSE,,0,,,,TRUE
70,Deep Learning,Optimization Algorithms,Optimization Algorithms: Performance Optimization,FALSE,,0,,,,TRUE
71,Deep Learning,Optimization Algorithms,Optimization Algorithms: Applications,FALSE,,0,,,,TRUE
72,Deep Learning,Optimization Algorithms,Optimization Algorithms: Limitations and Extensions,FALSE,,0,,,,TRUE
73,Deep Learning,Backpropagation,Backpropagation: Definition and Scope,FALSE,,0,,,,TRUE
74,Deep Learning,Backpropagation,Backpropagation: Core Concepts,FALSE,,0,,,,TRUE
75,Deep Learning,Backpropagation,Backpropagation: Key Components,FALSE,,0,,,,TRUE
76,Deep Learning,Backpropagation,Backpropagation: Underlying Principles,FALSE,,0,,,,TRUE
77,Deep Learning,Backpropagation,Backpropagation: Methods and Techniques,FALSE,,0,,,,TRUE
78,Deep Learning,Backpropagation,Backpropagation: Design and Implementation,FALSE,,0,,,,TRUE
79,Deep Learning,Backpropagation,Backpropagation: Evaluation and Measurement,FALSE,,0,,,,TRUE
80,Deep Learning,Backpropagation,Backpropagation: Performance Considerations,FALSE,,0,,,,TRUE
81,Deep Learning,Backpropagation,Backpropagation: Security or Safety Considerations,FALSE,,0,,,,TRUE
82,Deep Learning,Backpropagation,Backpropagation: Applications and Use Cases,FALSE,,0,,,,TRUE
83,Deep Learning,Backpropagation,Backpropagation: Challenges and Limitations,FALSE,,0,,,,TRUE
84,Deep Learning,Backpropagation,Backpropagation: Emerging Trends,FALSE,,0,,,,TRUE
85,Deep Learning,Weight Initialization,Weight Initialization: Definition and Scope,FALSE,,0,,,,TRUE
86,Deep Learning,Weight Initialization,Weight Initialization: Core Concepts,FALSE,,0,,,,TRUE
87,Deep Learning,Weight Initialization,Weight Initialization: Key Components,FALSE,,0,,,,TRUE
88,Deep Learning,Weight Initialization,Weight Initialization: Underlying Principles,FALSE,,0,,,,TRUE
89,Deep Learning,Weight Initialization,Weight Initialization: Methods and Techniques,FALSE,,0,,,,TRUE
90,Deep Learning,Weight Initialization,Weight Initialization: Design and Implementation,FALSE,,0,,,,TRUE
91,Deep Learning,Weight Initialization,Weight Initialization: Evaluation and Measurement,FALSE,,0,,,,TRUE
92,Deep Learning,Weight Initialization,Weight Initialization: Performance Considerations,FALSE,,0,,,,TRUE
93,Deep Learning,Weight Initialization,Weight Initialization: Security or Safety Considerations,FALSE,,0,,,,TRUE
94,Deep Learning,Weight Initialization,Weight Initialization: Applications and Use Cases,FALSE,,0,,,,TRUE
95,Deep Learning,Weight Initialization,Weight Initialization: Challenges and Limitations,FALSE,,0,,,,TRUE
96,Deep Learning,Weight Initialization,Weight Initialization: Emerging Trends,FALSE,,0,,,,TRUE
97,Deep Learning,Normalization Techniques,Normalization Techniques: Definition and Scope,FALSE,,0,,,,TRUE
98,Deep Learning,Normalization Techniques,Normalization Techniques: Core Concepts,FALSE,,0,,,,TRUE
99,Deep Learning,Normalization Techniques,Normalization Techniques: Key Components,FALSE,,0,,,,TRUE
100,Deep Learning,Normalization Techniques,Normalization Techniques: Underlying Principles,FALSE,,0,,,,TRUE
101,Deep Learning,Normalization Techniques,Normalization Techniques: Methods and Techniques,FALSE,,0,,,,TRUE
102,Deep Learning,Normalization Techniques,Normalization Techniques: Design and Implementation,FALSE,,0,,,,TRUE
103,Deep Learning,Normalization Techniques,Normalization Techniques: Evaluation and Measurement,FALSE,,0,,,,TRUE
104,Deep Learning,Normalization Techniques,Normalization Techniques: Performance Considerations,FALSE,,0,,,,TRUE
105,Deep Learning,Normalization Techniques,Normalization Techniques: Security or Safety Considerations,FALSE,,0,,,,TRUE
106,Deep Learning,Normalization Techniques,Normalization Techniques: Applications and Use Cases,FALSE,,0,,,,TRUE
107,Deep Learning,Normalization Techniques,Normalization Techniques: Challenges and Limitations,FALSE,,0,,,,TRUE
108,Deep Learning,Normalization Techniques,Normalization Techniques: Emerging Trends,FALSE,,0,,,,TRUE
109,Deep Learning,Regularization,Regularization: Definition and Scope,FALSE,,0,,,,TRUE
110,Deep Learning,Regularization,Regularization: Core Concepts,FALSE,,0,,,,TRUE
111,Deep Learning,Regularization,Regularization: Key Components,FALSE,,0,,,,TRUE
112,Deep Learning,Regularization,Regularization: Underlying Principles,FALSE,,0,,,,TRUE
113,Deep Learning,Regularization,Regularization: Methods and Techniques,FALSE,,0,,,,TRUE
114,Deep Learning,Regularization,Regularization: Design and Implementation,FALSE,,0,,,,TRUE
115,Deep Learning,Regularization,Regularization: Evaluation and Measurement,FALSE,,0,,,,TRUE
116,Deep Learning,Regularization,Regularization: Performance Considerations,FALSE,,0,,,,TRUE
117,Deep Learning,Regularization,Regularization: Security or Safety Considerations,FALSE,,0,,,,TRUE
118,Deep Learning,Regularization,Regularization: Applications and Use Cases,FALSE,,0,,,,TRUE
119,Deep Learning,Regularization,Regularization: Challenges and Limitations,FALSE,,0,,,,TRUE
120,Deep Learning,Regularization,Regularization: Emerging Trends,FALSE,,0,,,,TRUE
121,Deep Learning,Convolutional Neural Networks,Convolutional Neural Networks: Convolution Operation,FALSE,,0,,,,TRUE
122,Deep Learning,Convolutional Neural Networks,Convolutional Neural Networks: Kernels and Filters,FALSE,,0,,,,TRUE
123,Deep Learning,Convolutional Neural Networks,Convolutional Neural Networks: Feature Maps,FALSE,,0,,,,TRUE
124,Deep Learning,Convolutional Neural Networks,Convolutional Neural Networks: Stride,FALSE,,0,,,,TRUE
125,Deep Learning,Convolutional Neural Networks,Convolutional Neural Networks: Padding,FALSE,,0,,,,TRUE
126,Deep Learning,Convolutional Neural Networks,Convolutional Neural Networks: Pooling,FALSE,,0,,,,TRUE
127,Deep Learning,Convolutional Neural Networks,Convolutional Neural Networks: Receptive Fields,FALSE,,0,,,,TRUE
128,Deep Learning,Convolutional Neural Networks,Convolutional Neural Networks: Channel Dimensions,FALSE,,0,,,,TRUE
129,Deep Learning,Convolutional Neural Networks,Convolutional Neural Networks: Backpropagation in CNNs,FALSE,,0,,,,TRUE
130,Deep Learning,Convolutional Neural Networks,Convolutional Neural Networks: Residual Connections,FALSE,,0,,,,TRUE
131,Deep Learning,Convolutional Neural Networks,Convolutional Neural Networks: Transfer Learning with CNNs,FALSE,,0,,,,TRUE
132,Deep Learning,Convolutional Neural Networks,Convolutional Neural Networks: CNN Applications,FALSE,,0,,,,TRUE
133,Deep Learning,CNN Architectures,CNN Architectures: Convolution Operation,FALSE,,0,,,,TRUE
134,Deep Learning,CNN Architectures,CNN Architectures: Kernels and Filters,FALSE,,0,,,,TRUE
135,Deep Learning,CNN Architectures,CNN Architectures: Feature Maps,FALSE,,0,,,,TRUE
136,Deep Learning,CNN Architectures,CNN Architectures: Stride,FALSE,,0,,,,TRUE
137,Deep Learning,CNN Architectures,CNN Architectures: Padding,FALSE,,0,,,,TRUE
138,Deep Learning,CNN Architectures,CNN Architectures: Pooling,FALSE,,0,,,,TRUE
139,Deep Learning,CNN Architectures,CNN Architectures: Receptive Fields,FALSE,,0,,,,TRUE
140,Deep Learning,CNN Architectures,CNN Architectures: Channel Dimensions,FALSE,,0,,,,TRUE
141,Deep Learning,CNN Architectures,CNN Architectures: Backpropagation in CNNs,FALSE,,0,,,,TRUE
142,Deep Learning,CNN Architectures,CNN Architectures: Residual Connections,FALSE,,0,,,,TRUE
143,Deep Learning,CNN Architectures,CNN Architectures: Transfer Learning with CNNs,FALSE,,0,,,,TRUE
144,Deep Learning,CNN Architectures,CNN Architectures: CNN Applications,FALSE,,0,,,,TRUE
145,Deep Learning,Image Classification,Image Classification: Problem Definition,FALSE,,0,,,,TRUE
146,Deep Learning,Image Classification,Image Classification: Core Concepts,FALSE,,0,,,,TRUE
147,Deep Learning,Image Classification,Image Classification: Input Representation,FALSE,,0,,,,TRUE
148,Deep Learning,Image Classification,Image Classification: Key Methods,FALSE,,0,,,,TRUE
149,Deep Learning,Image Classification,Image Classification: Algorithm Workflow,FALSE,,0,,,,TRUE
150,Deep Learning,Image Classification,Image Classification: Training or Computation,FALSE,,0,,,,TRUE
151,Deep Learning,Image Classification,Image Classification: Hyperparameters and Configuration,FALSE,,0,,,,TRUE
152,Deep Learning,Image Classification,Image Classification: Evaluation Metrics,FALSE,,0,,,,TRUE
153,Deep Learning,Image Classification,Image Classification: Error Analysis,FALSE,,0,,,,TRUE
154,Deep Learning,Image Classification,Image Classification: Performance Optimization,FALSE,,0,,,,TRUE
155,Deep Learning,Image Classification,Image Classification: Applications,FALSE,,0,,,,TRUE
156,Deep Learning,Image Classification,Image Classification: Limitations and Extensions,FALSE,,0,,,,TRUE
157,Deep Learning,Object Detection,Object Detection: Problem Definition,FALSE,,0,,,,TRUE
158,Deep Learning,Object Detection,Object Detection: Core Concepts,FALSE,,0,,,,TRUE
159,Deep Learning,Object Detection,Object Detection: Input Representation,FALSE,,0,,,,TRUE
160,Deep Learning,Object Detection,Object Detection: Key Methods,FALSE,,0,,,,TRUE
161,Deep Learning,Object Detection,Object Detection: Algorithm Workflow,FALSE,,0,,,,TRUE
162,Deep Learning,Object Detection,Object Detection: Training or Computation,FALSE,,0,,,,TRUE
163,Deep Learning,Object Detection,Object Detection: Hyperparameters and Configuration,FALSE,,0,,,,TRUE
164,Deep Learning,Object Detection,Object Detection: Evaluation Metrics,FALSE,,0,,,,TRUE
165,Deep Learning,Object Detection,Object Detection: Error Analysis,FALSE,,0,,,,TRUE
166,Deep Learning,Object Detection,Object Detection: Performance Optimization,FALSE,,0,,,,TRUE
167,Deep Learning,Object Detection,Object Detection: Applications,FALSE,,0,,,,TRUE
168,Deep Learning,Object Detection,Object Detection: Limitations and Extensions,FALSE,,0,,,,TRUE
169,Deep Learning,Image Segmentation,Image Segmentation: Problem Definition,FALSE,,0,,,,TRUE
170,Deep Learning,Image Segmentation,Image Segmentation: Core Concepts,FALSE,,0,,,,TRUE
171,Deep Learning,Image Segmentation,Image Segmentation: Input Representation,FALSE,,0,,,,TRUE
172,Deep Learning,Image Segmentation,Image Segmentation: Key Methods,FALSE,,0,,,,TRUE
173,Deep Learning,Image Segmentation,Image Segmentation: Algorithm Workflow,FALSE,,0,,,,TRUE
174,Deep Learning,Image Segmentation,Image Segmentation: Training or Computation,FALSE,,0,,,,TRUE
175,Deep Learning,Image Segmentation,Image Segmentation: Hyperparameters and Configuration,FALSE,,0,,,,TRUE
176,Deep Learning,Image Segmentation,Image Segmentation: Evaluation Metrics,FALSE,,0,,,,TRUE
177,Deep Learning,Image Segmentation,Image Segmentation: Error Analysis,FALSE,,0,,,,TRUE
178,Deep Learning,Image Segmentation,Image Segmentation: Performance Optimization,FALSE,,0,,,,TRUE
179,Deep Learning,Image Segmentation,Image Segmentation: Applications,FALSE,,0,,,,TRUE
180,Deep Learning,Image Segmentation,Image Segmentation: Limitations and Extensions,FALSE,,0,,,,TRUE
181,Deep Learning,Recurrent Neural Networks,Recurrent Neural Networks: Purpose and Scope,FALSE,,0,,,,TRUE
182,Deep Learning,Recurrent Neural Networks,Recurrent Neural Networks: Core Components,FALSE,,0,,,,TRUE
183,Deep Learning,Recurrent Neural Networks,Recurrent Neural Networks: Reference Architecture,FALSE,,0,,,,TRUE
184,Deep Learning,Recurrent Neural Networks,Recurrent Neural Networks: Data and Control Flow,FALSE,,0,,,,TRUE
185,Deep Learning,Recurrent Neural Networks,Recurrent Neural Networks: Interfaces and Protocols,FALSE,,0,,,,TRUE
186,Deep Learning,Recurrent Neural Networks,Recurrent Neural Networks: Design Principles,FALSE,,0,,,,TRUE
187,Deep Learning,Recurrent Neural Networks,Recurrent Neural Networks: Implementation Models,FALSE,,0,,,,TRUE
188,Deep Learning,Recurrent Neural Networks,Recurrent Neural Networks: Performance Considerations,FALSE,,0,,,,TRUE
189,Deep Learning,Recurrent Neural Networks,Recurrent Neural Networks: Reliability and Availability,FALSE,,0,,,,TRUE
190,Deep Learning,Recurrent Neural Networks,Recurrent Neural Networks: Security Considerations,FALSE,,0,,,,TRUE
191,Deep Learning,Recurrent Neural Networks,Recurrent Neural Networks: Applications,FALSE,,0,,,,TRUE
192,Deep Learning,Recurrent Neural Networks,Recurrent Neural Networks: Emerging Trends,FALSE,,0,,,,TRUE
193,Deep Learning,LSTM and GRU Networks,LSTM and GRU Networks: Purpose and Scope,FALSE,,0,,,,TRUE
194,Deep Learning,LSTM and GRU Networks,LSTM and GRU Networks: Core Components,FALSE,,0,,,,TRUE
195,Deep Learning,LSTM and GRU Networks,LSTM and GRU Networks: Reference Architecture,FALSE,,0,,,,TRUE
196,Deep Learning,LSTM and GRU Networks,LSTM and GRU Networks: Data and Control Flow,FALSE,,0,,,,TRUE
197,Deep Learning,LSTM and GRU Networks,LSTM and GRU Networks: Interfaces and Protocols,FALSE,,0,,,,TRUE
198,Deep Learning,LSTM and GRU Networks,LSTM and GRU Networks: Design Principles,FALSE,,0,,,,TRUE
199,Deep Learning,LSTM and GRU Networks,LSTM and GRU Networks: Implementation Models,FALSE,,0,,,,TRUE
200,Deep Learning,LSTM and GRU Networks,LSTM and GRU Networks: Performance Considerations,FALSE,,0,,,,TRUE
201,Deep Learning,LSTM and GRU Networks,LSTM and GRU Networks: Reliability and Availability,FALSE,,0,,,,TRUE
202,Deep Learning,LSTM and GRU Networks,LSTM and GRU Networks: Security Considerations,FALSE,,0,,,,TRUE
203,Deep Learning,LSTM and GRU Networks,LSTM and GRU Networks: Applications,FALSE,,0,,,,TRUE
204,Deep Learning,LSTM and GRU Networks,LSTM and GRU Networks: Emerging Trends,FALSE,,0,,,,TRUE
205,Deep Learning,Sequence Modeling,Sequence Modeling: Problem Definition,FALSE,,0,,,,TRUE
206,Deep Learning,Sequence Modeling,Sequence Modeling: Core Concepts,FALSE,,0,,,,TRUE
207,Deep Learning,Sequence Modeling,Sequence Modeling: Input Representation,FALSE,,0,,,,TRUE
208,Deep Learning,Sequence Modeling,Sequence Modeling: Key Methods,FALSE,,0,,,,TRUE
209,Deep Learning,Sequence Modeling,Sequence Modeling: Algorithm Workflow,FALSE,,0,,,,TRUE
210,Deep Learning,Sequence Modeling,Sequence Modeling: Training or Computation,FALSE,,0,,,,TRUE
211,Deep Learning,Sequence Modeling,Sequence Modeling: Hyperparameters and Configuration,FALSE,,0,,,,TRUE
212,Deep Learning,Sequence Modeling,Sequence Modeling: Evaluation Metrics,FALSE,,0,,,,TRUE
213,Deep Learning,Sequence Modeling,Sequence Modeling: Error Analysis,FALSE,,0,,,,TRUE
214,Deep Learning,Sequence Modeling,Sequence Modeling: Performance Optimization,FALSE,,0,,,,TRUE
215,Deep Learning,Sequence Modeling,Sequence Modeling: Applications,FALSE,,0,,,,TRUE
216,Deep Learning,Sequence Modeling,Sequence Modeling: Limitations and Extensions,FALSE,,0,,,,TRUE
217,Deep Learning,Attention Mechanisms,Attention Mechanisms: Definition and Scope,FALSE,,0,,,,TRUE
218,Deep Learning,Attention Mechanisms,Attention Mechanisms: Core Concepts,FALSE,,0,,,,TRUE
219,Deep Learning,Attention Mechanisms,Attention Mechanisms: Key Components,FALSE,,0,,,,TRUE
220,Deep Learning,Attention Mechanisms,Attention Mechanisms: Underlying Principles,FALSE,,0,,,,TRUE
221,Deep Learning,Attention Mechanisms,Attention Mechanisms: Methods and Techniques,FALSE,,0,,,,TRUE
222,Deep Learning,Attention Mechanisms,Attention Mechanisms: Design and Implementation,FALSE,,0,,,,TRUE
223,Deep Learning,Attention Mechanisms,Attention Mechanisms: Evaluation and Measurement,FALSE,,0,,,,TRUE
224,Deep Learning,Attention Mechanisms,Attention Mechanisms: Performance Considerations,FALSE,,0,,,,TRUE
225,Deep Learning,Attention Mechanisms,Attention Mechanisms: Security or Safety Considerations,FALSE,,0,,,,TRUE
226,Deep Learning,Attention Mechanisms,Attention Mechanisms: Applications and Use Cases,FALSE,,0,,,,TRUE
227,Deep Learning,Attention Mechanisms,Attention Mechanisms: Challenges and Limitations,FALSE,,0,,,,TRUE
228,Deep Learning,Attention Mechanisms,Attention Mechanisms: Emerging Trends,FALSE,,0,,,,TRUE
229,Deep Learning,Transformers,Transformers: Self-Attention,FALSE,,0,,,,TRUE
230,Deep Learning,Transformers,Transformers: Multi-Head Attention,FALSE,,0,,,,TRUE
231,Deep Learning,Transformers,Transformers: Query Key and Value Vectors,FALSE,,0,,,,TRUE
232,Deep Learning,Transformers,Transformers: Positional Encoding,FALSE,,0,,,,TRUE
233,Deep Learning,Transformers,Transformers: Encoder Architecture,FALSE,,0,,,,TRUE
234,Deep Learning,Transformers,Transformers: Decoder Architecture,FALSE,,0,,,,TRUE
235,Deep Learning,Transformers,Transformers: Feed-Forward Layers,FALSE,,0,,,,TRUE
236,Deep Learning,Transformers,Transformers: Residual Connections,FALSE,,0,,,,TRUE
237,Deep Learning,Transformers,Transformers: Layer Normalization,FALSE,,0,,,,TRUE
238,Deep Learning,Transformers,Transformers: Causal Attention,FALSE,,0,,,,TRUE
239,Deep Learning,Transformers,Transformers: Transformer Training,FALSE,,0,,,,TRUE
240,Deep Learning,Transformers,Transformers: Transformer Applications,FALSE,,0,,,,TRUE
241,Deep Learning,Representation Learning,Representation Learning: Problem Definition,FALSE,,0,,,,TRUE
242,Deep Learning,Representation Learning,Representation Learning: Core Concepts,FALSE,,0,,,,TRUE
243,Deep Learning,Representation Learning,Representation Learning: Input Representation,FALSE,,0,,,,TRUE
244,Deep Learning,Representation Learning,Representation Learning: Key Methods,FALSE,,0,,,,TRUE
245,Deep Learning,Representation Learning,Representation Learning: Algorithm Workflow,FALSE,,0,,,,TRUE
246,Deep Learning,Representation Learning,Representation Learning: Training or Computation,FALSE,,0,,,,TRUE
247,Deep Learning,Representation Learning,Representation Learning: Hyperparameters and Configuration,FALSE,,0,,,,TRUE
248,Deep Learning,Representation Learning,Representation Learning: Evaluation Metrics,FALSE,,0,,,,TRUE
249,Deep Learning,Representation Learning,Representation Learning: Error Analysis,FALSE,,0,,,,TRUE
250,Deep Learning,Representation Learning,Representation Learning: Performance Optimization,FALSE,,0,,,,TRUE
251,Deep Learning,Representation Learning,Representation Learning: Applications,FALSE,,0,,,,TRUE
252,Deep Learning,Representation Learning,Representation Learning: Limitations and Extensions,FALSE,,0,,,,TRUE
253,Deep Learning,Autoencoders,Autoencoders: Definition and Scope,FALSE,,0,,,,TRUE
254,Deep Learning,Autoencoders,Autoencoders: Core Concepts,FALSE,,0,,,,TRUE
255,Deep Learning,Autoencoders,Autoencoders: Key Components,FALSE,,0,,,,TRUE
256,Deep Learning,Autoencoders,Autoencoders: Underlying Principles,FALSE,,0,,,,TRUE
257,Deep Learning,Autoencoders,Autoencoders: Methods and Techniques,FALSE,,0,,,,TRUE
258,Deep Learning,Autoencoders,Autoencoders: Design and Implementation,FALSE,,0,,,,TRUE
259,Deep Learning,Autoencoders,Autoencoders: Evaluation and Measurement,FALSE,,0,,,,TRUE
260,Deep Learning,Autoencoders,Autoencoders: Performance Considerations,FALSE,,0,,,,TRUE
261,Deep Learning,Autoencoders,Autoencoders: Security or Safety Considerations,FALSE,,0,,,,TRUE
262,Deep Learning,Autoencoders,Autoencoders: Applications and Use Cases,FALSE,,0,,,,TRUE
263,Deep Learning,Autoencoders,Autoencoders: Challenges and Limitations,FALSE,,0,,,,TRUE
264,Deep Learning,Autoencoders,Autoencoders: Emerging Trends,FALSE,,0,,,,TRUE
265,Deep Learning,Variational Autoencoders,Variational Autoencoders: Definition and Scope,FALSE,,0,,,,TRUE
266,Deep Learning,Variational Autoencoders,Variational Autoencoders: Core Concepts,FALSE,,0,,,,TRUE
267,Deep Learning,Variational Autoencoders,Variational Autoencoders: Key Components,FALSE,,0,,,,TRUE
268,Deep Learning,Variational Autoencoders,Variational Autoencoders: Underlying Principles,FALSE,,0,,,,TRUE
269,Deep Learning,Variational Autoencoders,Variational Autoencoders: Methods and Techniques,FALSE,,0,,,,TRUE
270,Deep Learning,Variational Autoencoders,Variational Autoencoders: Design and Implementation,FALSE,,0,,,,TRUE
271,Deep Learning,Variational Autoencoders,Variational Autoencoders: Evaluation and Measurement,FALSE,,0,,,,TRUE
272,Deep Learning,Variational Autoencoders,Variational Autoencoders: Performance Considerations,FALSE,,0,,,,TRUE
273,Deep Learning,Variational Autoencoders,Variational Autoencoders: Security or Safety Considerations,FALSE,,0,,,,TRUE
